,FIPS,Jan_p,Feb_p,Mar_p,Apr_p,May_p,Jun_p,Jul_p,Aug_p,Sep_p,Oct_p,Nov_p,Dec_p,Jan_t,Feb_t,Mar_t,Apr_t,May_t,Jun_t,Jul_t,Aug_t,Sep_t,Oct_t,Nov_t,Dec_t,Jan_soi,Feb_soi,Mar_soi,Apr_soi,May_soi,Jun_soi,Jul_soi,Aug_soi,Sep_soi,Oct_soi,Nov_soi,Dec_soi,snow
663,30087,0.9170000000000001,0.8975000000000001,1.9108333333333336,1.1598333333333335,2.5594999999999994,2.4545000000000003,0.14250000000000002,0.464,0.6240000000000001,1.6145000000000003,0.5491666666666667,0.9555000000000001,24.384946236559138,22.189675516224188,29.3252688172043,47.36472222222222,52.23602150537634,59.22333333333334,72.71559139784947,73.71854838709676,56.61694444444445,51.1513440860215,27.646388888888893,27.831451612903226,-0.2,-0.7,-0.3,-0.1,-0.3,-0.6,0.3,0.1,-0.1,0.0,-0.3,1.1,36.665000000000006
664,30087,0.4221666666666667,0.32833333333333337,0.3520000000000001,0.229,1.4873333333333336,1.8475000000000001,1.9855,0.9640000000000002,1.2675,1.439166666666667,0.19249999999999998,0.07050000000000001,17.598118279569896,22.90117994100295,39.228763440860206,46.965833333333336,50.796505376344086,57.468333333333334,69.28172043010753,64.70107526881719,58.330000000000005,46.83870967741935,37.36666666666666,30.292741935483868,-1.3,1.2,0.4,-0.9,1.0,-0.8,-0.5,-0.3,-0.3,-0.1,-0.7,-0.8,11.846666666666668
665,30087,0.3,0.20350000000000001,0.8633333333333334,2.6763333333333335,3.5291666666666663,4.142,0.42600000000000005,0.5714999999999999,0.532,2.7515,1.0041666666666667,0.5845,17.748924731182793,30.136283185840703,37.14569892473118,45.106111111111105,50.111827956989245,61.20777777777777,71.39247311827958,67.91397849462365,60.63638888888889,46.1494623655914,36.57111111111111,20.116666666666664,0.3,-3.1,0.3,-0.6,-0.8,0.4,0.2,-0.3,0.4,1.2,-0.2,0.0,17.44666666666667
666,30087,0.09666666666666668,0.4325,1.271,2.8815,1.4735000000000003,1.1635000000000002,0.532,0.393,2.3810000000000002,1.6255000000000002,0.2955,0.2,34.51075268817205,24.907964601769912,33.00510752688173,47.02222222222222,54.97419354838711,64.35333333333334,74.28172043010753,69.14462365591399,55.49333333333333,42.13279569892473,33.59861111111111,28.2752688172043,1.7,0.1,1.8,1.1,-0.5,-0.2,-0.6,-1.0,-0.6,-1.3,0.1,-0.3,6.7700000000000005
667,30087,0.14583333333333334,0.9776666666666668,1.7025,1.7705000000000002,6.0975,2.278,1.0514999999999999,0.37200000000000005,1.0870000000000002,1.045,0.192,0.272,24.603225806451615,20.917404129793514,41.61075268817205,41.67222222222222,54.83387096774194,63.02,75.36747311827958,69.49032258064517,58.741666666666674,47.28655913978495,35.007222222222225,23.651612903225807,-0.8,-0.1,0.2,-0.1,-0.1,0.5,-0.3,0.4,0.2,0.7,0.9,1.7,24.84166666666667
668,30087,0.548,0.5328333333333333,0.5231666666666667,0.8822857142857142,6.206476190476192,2.4499761904761908,1.3910714285714287,1.070559523809524,1.372095238095238,2.7992261904761904,0.871095238095238,1.1324166666666668,18.130645161290325,22.04306784660767,33.509139784946235,38.919444444444444,50.34543010752689,58.52888888888889,69.49247311827958,68.9752688172043,55.9675,44.44086021505377,37.68055555555556,14.526881720430104,1.8,2.6,1.4,0.7,-0.1,0.6,0.3,1.0,1.2,1.3,1.3,1.4,27.49154761904762
669,30087,0.6990000000000001,0.29133333333333333,1.0673333333333332,1.5071666666666665,1.3941666666666668,2.122428571428572,1.9774047619047617,2.482,0.2545,2.1975,0.05450000000000001,0.5086666666666667,22.06182795698925,28.02772861356932,30.710215053763445,42.08666666666668,52.656451612903226,57.94333333333334,67.87903225806451,66.66397849462365,64.3975,38.18709677419355,38.17777777777778,11.520967741935484,1.1,1.9,0.4,0.8,-0.1,0.1,0.2,-0.2,0.3,-1.2,-0.6,-0.7,22.33833333333333
670,30087,0.6091666666666667,0.5253333333333334,0.106,1.3744047619047621,4.566071428571429,3.2177619047619053,2.7017857142857142,1.9835357142857146,1.720595238095238,0.5256428571428571,1.6151388888888893,0.4347178932178932,18.665591397849457,19.439823008849554,38.93790322580645,44.153333333333336,49.0258064516129,60.110555555555564,66.87526881720432,67.95698924731182,56.087777777777774,50.09677419354838,28.32888888888889,20.783870967741937,-1.1,-1.5,-0.7,1.2,0.9,0.4,1.8,1.8,2.2,1.7,1.3,2.9,28.07381673881674
671,30087,0.9827619047619048,0.9395674603174604,0.7684011544011544,3.1094047619047616,8.610549783549784,3.895095238095238,1.7213452380952379,1.0107539682539683,0.3283690476190476,1.6112777777777776,0.5414404761904763,0.39319444444444446,19.87661290322581,16.141002949852506,30.45913978494624,40.55388888888888,48.18333333333334,59.09888888888891,70.88951612903226,69.66559139784945,59.73277777777778,48.84166666666667,31.32888888888889,28.82150537634409,2.3,2.7,2.5,1.9,0.4,0.2,1.0,0.4,1.0,0.8,1.1,2.5,26.295238095238098
672,30087,0.9641161616161618,0.6300555555555556,0.4334325396825397,1.2667380952380953,1.207142857142857,0.6205119047619049,0.7654047619047619,0.47940476190476194,0.10625,1.431845238095238,0.4562023809523809,0.33592460317460315,25.538440860215054,25.97050147492625,42.557526881720435,47.80222222222222,52.63145161290323,64.97333333333333,75.6741935483871,69.71559139784948,60.355,42.78440860215054,35.63277777777778,24.282795698924726,1.1,0.5,0.7,-0.3,0.0,-0.4,0.0,-0.2,0.2,0.3,0.3,-0.6,17.973730158730163
